scenario,distribution,days,density
optimal,interview_isolation,11,7.419371008893695e-12
optimal,isolation_swab,12,3.0914045870390403e-13
optimal,test_turnaround_time,12,0
optimal,time_to_interview,12,0
optimal,interview_isolation,12,3.0914045870390403e-13
optimal,isolation_swab,13,1.189001764245786e-14
optimal,test_turnaround_time,13,0
optimal,time_to_interview,13,0
optimal,interview_isolation,13,1.189001764245786e-14
optimal,isolation_swab,14,4.246434872306379e-16
optimal,test_turnaround_time,14,0
optimal,time_to_interview,14,0
optimal,interview_isolation,14,4.246434872306379e-16
partial,isolation_swab,0,0.6065306597126334
partial,test_turnaround_time,0,0.03529763685312594
partial,time_to_interview,0,0.24080028581636298
partial,interview_isolation,0,0.6065306597126334
partial,isolation_swab,1,0.3032653298563167
partial,test_turnaround_time,1,0.2425964702363147
partial,time_to_interview,1,0.4301536262951054
partial,interview_isolation,1,0.3032653298563167
partial,isolation_swab,2,0.07581633246407919
partial,test_turnaround_time,2,0.3909661980257254
partial,time_to_interview,2,0.1218292247231154
partial,interview_isolation,2,0.07581633246407919
partial,isolation_swab,3,0.012636055410679864
partial,test_turnaround_time,3,0.20729883338318875
partial,time_to_interview,3,0.05501964987495534
partial,interview_isolation,3,0.012636055410679864
partial,isolation_swab,4,0.0015795069263349838
partial,test_turnaround_time,4,0.06790308106491176
partial,time_to_interview,4,0.031082529474812434
partial,interview_isolation,4,0.0015795069263349838
partial,isolation_swab,5,1.5795069263349796e-4
partial,test_turnaround_time,5,0.04367334729285073
partial,time_to_interview,5,0.01679171132547338
partial,interview_isolation,5,1.5795069263349796e-4
partial,isolation_swab,6,1.3162557719458172e-5
partial,test_turnaround_time,6,0.007777445408315884
partial,time_to_interview,6,0.019649874955341193
partial,interview_isolation,6,1.3162557719458172e-5
partial,isolation_swab,7,9.401826942470148e-7
partial,test_turnaround_time,7,5.982650314089142e-4
partial,time_to_interview,7,0.014648088603072526
partial,interview_isolation,7,9.401826942470148e-7
partial,isolation_swab,8,5.876141839043841e-8
partial,test_turnaround_time,8,8.973975471133712e-4
partial,time_to_interview,8,0.015719899964272956
partial,interview_isolation,8,5.876141839043841e-8
partial,isolation_swab,9,3.264523243913249e-9
partial,test_turnaround_time,9,8.973975471133712e-4
partial,time_to_interview,9,0.012504465880671669
partial,interview_isolation,9,3.264523243913249e-9
partial,isolation_swab,10,1.632261621956627e-10
partial,test_turnaround_time,10,2.991325157044571e-4
partial,time_to_interview,10,0.00857449088960343
partial,interview_isolation,10,1.632261621956627e-10
partial,isolation_swab,11,7.419371008893695e-12
partial,test_turnaround_time,11,0
partial,time_to_interview,11,0.01714898177920686
partial,interview_isolation,11,7.419371008893695e-12
partial,isolation_swab,12,3.0914045870390403e-13
partial,test_turnaround_time,12,2.991325157044571e-4
partial,time_to_interview,12,0.00857449088960343
partial,interview_isolation,12,3.0914045870390403e-13
partial,isolation_swab,13,1.189001764245786e-14
partial,test_turnaround_time,13,0.0011965300628178283
partial,time_to_interview,13,0.0053590568060021436
partial,interview_isolation,13,1.189001764245786e-14
partial,isolation_swab,14,4.246434872306379e-16
partial,test_turnaround_time,14,2.991325157044571e-4
partial,time_to_interview,14,0.0021436227224008574
partial,interview_isolation,14,4.246434872306379e-16
current_nsw_case_init_0.2,isolation_swab,0,0.6065306597126334
current_nsw_case_init_0.2,test_turnaround_time,0,0.11553074178751796
current_nsw_case_init_0.2,time_to_interview,0,0.40919337687984203
current_nsw_case_init_0.2,interview_isolation,0,0.6065306597126334
current_nsw_case_init_0.2,isolation_swab,1,0.3032653298563167
current_nsw_case_init_0.2,test_turnaround_time,1,0.5632905527498494
current_nsw_case_init_0.2,time_to_interview,1,0.2133738417135045
current_nsw_case_init_0.2,interview_isolation,1,0.3032653298563167
current_nsw_case_init_0.2,isolation_swab,2,0.07581633246407919
current_nsw_case_init_0.2,test_turnaround_time,2,0.22974099986100172
current_nsw_case_init_0.2,time_to_interview,2,0.09707428224213885
current_nsw_case_init_0.2,interview_isolation,2,0.07581633246407919
current_nsw_case_init_0.2,isolation_swab,3,0.012636055410679864
current_nsw_case_init_0.2,test_turnaround_time,3,0.06336005189269332
current_nsw_case_init_0.2,time_to_interview,3,0.07702263405742063
current_nsw_case_init_0.2,interview_isolation,3,0.012636055410679864
